"distribution_center_id","name","latitude","longitude","product_id","cost","category","product_name","retail_price","sku","distribution_center_id","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_id","user_id","status","gender","created_at","shipped_at","delivered_at","returned_at"
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI13793","O9492","U7649","P011","2022-06-22","2022-06-25","","","8.5","","","","","","","","","","O9492","U7649","Shipped","F","2022-06-22","2022-06-25","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI93625","O64584","U51698","P011","2021-11-06","2021-11-08","","","8.5","","","","","","","","","","O64584","U51698","Shipped","F","2021-11-06","2021-11-08","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI111549","O76948","U61600","P002","2023-02-27","2023-02-26","","","8.5","","","","","","","","","","O76948","U61600","Shipped","F","2023-02-27","2023-02-26","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI115525","O79675","U63681","P002","2022-02-27","2022-02-27","","","8.5","","","","","","","","","","O79675","U63681","Shipped","F","2022-02-27","2022-02-27","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI125455","O86550","U69272","P011","2022-02-12","2022-02-12","","","8.5","","","","","","","","","","O86550","U69272","Shipped","F","2022-02-12","2022-02-12","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI79454","O54706","U43753","P011","2023-05-02","2023-05-04","2023-05-06","","8.5","","","","","","","","","","O54706","U43753","Complete","F","2023-05-02","2023-05-04","2023-05-06",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI82492","O56815","U45468","P011","2023-03-24","2023-03-25","2023-03-28","","8.5","","","","","","","","","","O56815","U45468","Complete","F","2023-03-24","2023-03-25","2023-03-28",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI123308","O85053","U67974","P011","2023-04-11","2023-04-09","2023-04-12","","8.5","","","","","","","","","","O85053","U67974","Complete","F","2023-04-11","2023-04-09","2023-04-12",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI138130","O95254","U76259","P011","2023-02-08","2023-02-09","2023-02-11","","8.5","","","","","","","","","","O95254","U76259","Complete","F","2023-02-08","2023-02-09","2023-02-11",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI35329","O24310","U19364","P002","2023-06-11","","","","8.5","","","","","","","","","","O24310","U19364","Cancelled","F","2023-06-11","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI6721","O4587","U3657","P011","2022-12-18","","","","8.5","","","","","","","","","","O4587","U3657","Processing","F","2022-12-18","","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI33135","O22793","U18161","P010","2021-12-04","","","","8.5","","","","","","","","","","O22793","U18161","Processing","F","2021-12-04","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI34026","O23387","U18636","P011","2023-03-31","","","","8.5","","","","","","","","","","O23387","U18636","Processing","F","2023-03-31","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI35184","O24209","U19285","P002","2022-08-03","","","","8.5","","","","","","","","","","O24209","U19285","Processing","F","2022-08-03","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI39302","O27042","U21510","P011","2023-06-27","","","","8.5","","","","","","","","","","O27042","U21510","Processing","F","2023-06-27","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI11774","O8103","U6509","P004","2022-11-09","2022-11-09","","","9.5","","","","","","","","","","O8103","U6509","Shipped","F","2022-11-09","2022-11-09","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI47686","O32818","U26115","P007","2021-06-28","2021-06-29","","","9.5","","","","","","","","","","O32818","U26115","Shipped","F","2021-06-28","2021-06-29","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI65787","O45293","U36175","P007","2023-06-27","2023-06-28","","","9.5","","","","","","","","","","O45293","U36175","Shipped","F","2023-06-27","2023-06-28","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI100363","O69189","U55407","P011","2023-03-29","2023-03-29","","","9.5","","","","","","","","","","O69189","U55407","Shipped","F","2023-03-29","2023-03-29","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI101853","O70232","U56251","P004","2021-12-08","2021-12-05","","","9.5","","","","","","","","","","O70232","U56251","Shipped","F","2021-12-08","2021-12-05","",""
